STATE	<BIGBANG>	<ABRE_CHAVE>	<FECHA_CHAVE>	<ENTROPIA>	<ID>	<NUM_BOOL_TRUE>	<NUM_BOOL_FALSE>	<NUM_INTEGER>	<NUM_FLOAT>	<OP_ARIT_MAIS>	<OP_ARIT_MULTI>	<OP_ARIT_MENOS>	<OP_ARIT_DIV>	<OP_LOGICO_E>	<OP_LOGICO_OU>	<OP_LOGICO_NAO_LOGICO>	<ATRIBUICAO>	<PONTO_VIRGULA>	<TIPO_NUM_INTEGER>	<TIPO_NUM_FLOAT>	<TIPO_NUM_BOOL>	<OP_REL_MENOR>	<OP_REL_MAIOR>	<OP_REL_MENOR_IG>	<OP_REL_MAIOR_IG>	<OP_REL_DIF_IG>	<OP_REL_IG_IG>	<IF>	<ABRE_PARENT>	<FECHA_PARENT>	<ELSE>	<FOR>	<WHILE>	$	S	D	F	J	R	N	P	E	K	B	Q	L	T	V	U	X	G
42	?	?	?	?	r20	r20	r20	r20	r20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
43	?	?	?	?	r21	r21	r21	r21	r21	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
44	?	?	?	?	r22	r22	r22	r22	r22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
45	?	?	?	?	r23	r23	r23	r23	r23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
46	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	acc	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
47	?	?	r1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
48	?	?	r5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
49	?	?	r2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
50	?	?	r3	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
51	?	?	?	?	s22	s23	s24	s25	s26	?	?	?	?	?	?	?	?	r8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	56	?	21	?	?	?	?	?	?	?	?	?	?	?
